generator,seed,target,target_is_hub,retention_pct,f1_full,f1_hif
ctgan,51,cost_burden_pct,False,66.35,0.3273542600896861,0.3273542600896861
ctgan,51,employment_status,False,66.35,0.4131326949384405,0.358211747760978
ctgan,51,household_size,True,66.35,0.34065934065934067,0.34065934065934067
ctgan,51,age_group,False,66.35,0.34797932330827064,0.34719296638886343
vine,42,household_income,True,82.19999999999999,0.5748557546310356,0.6453900709219857
vine,42,housing_cost,True,82.19999999999999,0.5041669584704811,0.6305490776264868
vine,42,poverty_status,True,82.19999999999999,0.5122564424890006,0.6111903748758896
vine,42,education,True,82.19999999999999,0.40146549256833547,0.493648322327101
vine,42,tenure,False,82.19999999999999,0.38532804774842994,0.4413220928676569
vine,42,cost_burden_pct,False,82.19999999999999,0.43505972544125515,0.47121230714309614
vine,42,employment_status,False,82.19999999999999,0.5276392254173494,0.5313737752762143
vine,42,household_size,True,82.19999999999999,0.4676339285714286,0.5251418443669116
vine,42,age_group,False,82.19999999999999,0.42449503494137286,0.4260289210233593
vine,43,household_income,True,79.14999999999999,0.5466091888319748,0.6376811594202898
vine,43,housing_cost,True,79.14999999999999,0.5463440668920121,0.637098460037628
vine,43,poverty_status,True,79.14999999999999,0.41186299081035926,0.510198604401503
vine,43,education,True,79.14999999999999,0.5814701901726088,0.6132645803698435
vine,43,tenure,True,79.14999999999999,0.5731009104957143,0.5779318661441061
vine,43,cost_burden_pct,False,79.14999999999999,0.5357949928198507,0.5295099908609854
vine,43,employment_status,False,79.14999999999999,0.4568802309544002,0.4203734409919977
vine,43,household_size,False,79.14999999999999,0.5146103399673627,0.5219736138349083
vine,43,age_group,False,79.14999999999999,0.45433155615629145,0.47568211419220535
vine,44,household_income,True,77.85,0.44166511573643263,0.6366303296996366
vine,44,housing_cost,True,77.85,0.5329129549928269,0.6216151642862501
vine,44,poverty_status,True,77.85,0.43520021645021645,0.5837003095343957
vine,44,education,True,77.85,0.4980195955805712,0.5560698272121408
vine,44,tenure,True,77.85,0.43055676094862416,0.5052594045284364
