seed,error_type,corruption_level,method,f1,precision,recall,roc_auc,pr_auc,n_flagged,n_true_errors
50,random_injection,0.4,HIF,0.6935724962630793,0.5742574257425742,0.8754716981132076,0.8338866033007046,0.7583265760261415,404,265
50,random_injection,0.4,IsolationForest,0.38596491228070173,0.315035799522673,0.4981132075471698,0.335697734903296,0.30330311365719614,419,265
50,random_injection,0.4,LOF,0.48626373626373626,0.38228941684665224,0.6679245283018868,0.5308696268974322,0.4727507716691627,463,265
50,random_injection,0.4,GMM,0.6059907834101382,0.4361525704809287,0.9924528301886792,0.7999810847874405,0.7171132518711321,603,265
50,semantic_hallucination,0.4,HIF,0.7042682926829268,0.5907928388746803,0.8716981132075472,0.8098264529247647,0.6748278784906422,391,265
50,semantic_hallucination,0.4,IsolationForest,0.5034013605442177,0.39361702127659576,0.6981132075471698,0.45334089941835726,0.35319203429038315,470,265
50,semantic_hallucination,0.4,LOF,0.5430809399477807,0.4151696606786427,0.7849056603773585,0.5692722371967656,0.46672124605745313,501,265
50,semantic_hallucination,0.4,GMM,0.6105990783410138,0.439469320066335,1.0,0.9294651723648745,0.8596721027043309,603,265
50,row_duplication,0.4,HIF,0.4249084249084249,0.4128113879003559,0.4377358490566038,0.5245708611150517,0.4303008537305403,281,265
50,row_duplication,0.4,IsolationForest,0.5238744884038199,0.41025641025641024,0.7245283018867924,0.5374284768525086,0.4303753870176188,468,265
50,row_duplication,0.4,LOF,0.5305039787798409,0.40899795501022496,0.7547169811320755,0.5224334420958056,0.4139177479765387,489,265
50,row_duplication,0.4,GMM,0.565680473372781,0.41206896551724137,0.9018867924528302,0.5576015510474299,0.43819969464759434,580,265
50,feature_dropout,0.4,HIF,0.618657937806874,0.546242774566474,0.7132075471698113,0.726642076890339,0.5873535094918427,346,265
50,feature_dropout,0.4,IsolationForest,0.3277693474962064,0.27411167512690354,0.4075471698113208,0.2858608786116234,0.28643062939984304,394,265
50,feature_dropout,0.4,LOF,0.5577172503242542,0.424901185770751,0.8113207547169812,0.6314418120773633,0.5275648254688233,506,265
50,feature_dropout,0.4,GMM,0.5901639344262295,0.42784380305602715,0.9509433962264151,0.7923109660944815,0.7410861355085746,589,265
50,covariate_shift,0.4,HIF,0.018433179723502304,0.023668639053254437,0.01509433962264151,0.18735045160069985,0.33706791684955634,169,265
50,covariate_shift,0.4,IsolationForest,0.35276532137518685,0.29207920792079206,0.44528301886792454,0.31720811462618814,0.32157120636102,404,265
50,covariate_shift,0.4,LOF,0.3009118541033435,0.25190839694656486,0.37358490566037733,0.3022036222632052,0.3408682387494261,393,265
50,covariate_shift,0.4,GMM,0.32409972299168976,0.25601750547045954,0.44150943396226416,0.1612994751028515,0.25450959568322123,457,265
51,random_injection,0.4,HIF,0.7358490566037735,0.6307277628032345,0.8830188679245283,0.8489100108762473,0.756726888189567,371,265
51,random_injection,0.4,IsolationForest,0.4213564213564214,0.3411214953271028,0.5509433962264151,0.36526221213410887,0.31152378473732634,428,265
51,random_injection,0.4,LOF,0.4731182795698925,0.3674321503131524,0.6641509433962264,0.4917671537333901,0.46948041233155596,479,265
51,random_injection,0.4,GMM,0.6,0.4292682926829268,0.9962264150943396,0.8341514162765402,0.755461779718779,615,265
51,semantic_hallucination,0.4,HIF,0.6866141732283465,0.5891891891891892,0.8226415094339623,0.797602496808058,0.6425081276495129,370,265
51,semantic_hallucination,0.4,IsolationForest,0.48525469168900803,0.3762993762993763,0.6830188679245283,0.47354234643211807,0.3823226915214565,481,265
51,semantic_hallucination,0.4,LOF,0.550063371356147,0.41412213740458015,0.8188679245283019,0.5693006100156051,0.48511464530220716,524,265
51,semantic_hallucination,0.4,GMM,0.5975197294250282,0.42604501607717044,1.0,0.9659431597862581,0.9369754536133149,622,265
51,row_duplication,0.4,HIF,0.40159045725646125,0.42436974789915966,0.38113207547169814,0.5127914124934979,0.4170450567085896,238,265
51,row_duplication,0.4,IsolationForest,0.528,0.40824742268041236,0.7471698113207547,0.4812455667470563,0.37862222997769546,485,265
51,row_duplication,0.4,LOF,0.515625,0.39363817097415504,0.7471698113207547,0.49590958528396467,0.40065309220316325,503,265
51,row_duplication,0.4,GMM,0.5446009389671361,0.39522998296422485,0.8754716981132076,0.5115524660708375,0.40763556044572385,587,265
51,feature_dropout,0.4,HIF,0.6407766990291263,0.5609065155807366,0.7471698113207547,0.7479311486262826,0.6160856170590514,353,265
51,feature_dropout,0.4,IsolationForest,0.36227544910179643,0.3002481389578164,0.45660377358490567,0.32297725445689696,0.29981820480690424,403,265
51,feature_dropout,0.4,LOF,0.5377720870678617,0.4069767441860465,0.7924528301886793,0.5881732633470469,0.48093190945706005,516,265
51,feature_dropout,0.4,GMM,0.5993111366245695,0.4306930693069307,0.9849056603773585,0.8410649264671112,0.779473945923093,606,265
51,covariate_shift,0.4,HIF,0.014354066985645933,0.0196078431372549,0.011320754716981131,0.18691540171182675,0.34691491980378475,153,265
51,covariate_shift,0.4,IsolationForest,0.29473684210526313,0.245,0.36981132075471695,0.2622310493214168,0.3041858387443144,400,265
51,covariate_shift,0.4,LOF,0.2736842105263158,0.2275,0.3433962264150943,0.2436468529815104,0.2946955091601435,400,265
51,covariate_shift,0.4,GMM,0.27071823204419887,0.21350762527233116,0.36981132075471695,0.1264765687804417,0.2487715819704711,459,265
