dataset,generator,target,target_is_hub,seed,retention,violation_rate,f1_full,f1_filtered
census_acs,ctgan,poverty_status,True,50,64.9,0.351,0.5700862643500135,0.7147349047220415
census_acs,ctgan,education,True,50,64.9,0.351,0.33466574640755486,0.35318116091716584
census_acs,ctgan,tenure,True,50,64.9,0.351,0.3435448577680525,0.3435448577680525
census_acs,ctgan,cost_burden_pct,False,50,64.9,0.351,0.3095512082853855,0.33458258442005434
census_acs,ctgan,employment_status,False,50,64.9,0.351,0.518796992481203,0.5048335690607121
census_acs,ctgan,household_size,False,50,64.9,0.351,0.3456924754634678,0.3534656312913431
census_acs,ctgan,age_group,False,50,64.9,0.351,0.5360429021239667,0.5832391855589867
census_acs,ctgan,household_income,True,51,64.55,0.3545,0.5109758748098239,0.5754216299091874
census_acs,ctgan,housing_cost,True,51,64.55,0.3545,0.35278498581859874,0.39994504991299573
census_acs,ctgan,poverty_status,True,51,64.55,0.3545,0.3377777777777778,0.33702637482030606
census_acs,ctgan,education,True,51,64.55,0.3545,0.36229689592918296,0.5813503796945547
census_acs,ctgan,tenure,True,51,64.55,0.3545,0.3220338983050847,0.3220338983050847
census_acs,ctgan,cost_burden_pct,False,51,64.55,0.3545,0.3340732519422864,0.3377777777777778
census_acs,ctgan,employment_status,False,51,64.55,0.3545,0.33220713825185233,0.31627128858962766
census_acs,ctgan,household_size,False,51,64.55,0.3545,0.3763015446445023,0.39043644201595296
census_acs,ctgan,age_group,False,51,64.55,0.3545,0.41418807896554183,0.4444444444444444
census_acs,vine,household_income,True,42,77.35,0.2265,0.5768974737958502,0.7434256311645626
census_acs,vine,housing_cost,True,42,77.35,0.2265,0.5721162417543234,0.648494327976656
census_acs,vine,poverty_status,True,42,77.35,0.2265,0.5059985885673959,0.5976349878731656
census_acs,vine,education,True,42,77.35,0.2265,0.436641628516823,0.558744874309146
census_acs,vine,tenure,True,42,77.35,0.2265,0.40066964285714285,0.43821951921652585
census_acs,vine,cost_burden_pct,False,42,77.35,0.2265,0.4198388441233676,0.4683318564773791
census_acs,vine,employment_status,False,42,77.35,0.2265,0.5329129549928269,0.49932687279564747
census_acs,vine,household_size,False,42,77.35,0.2265,0.4601276520598401,0.4679638215398647
census_acs,vine,age_group,False,42,77.35,0.2265,0.4092881445308665,0.4257478632478633
census_acs,vine,household_income,True,43,78.8,0.212,0.5977422378995803,0.6929204819813304
census_acs,vine,housing_cost,True,43,78.8,0.212,0.5432358604630334,0.6798659124240519
census_acs,vine,poverty_status,True,43,78.8,0.212,0.45530492898913955,0.5013508602401968
census_acs,vine,education,True,43,78.8,0.212,0.5328185220432073,0.6353539408537401
census_acs,vine,tenure,True,43,78.8,0.212,0.583314813991733,0.6196576919227305
census_acs,vine,cost_burden_pct,False,43,78.8,0.212,0.5066173283995066,0.5219736138349083
census_acs,vine,employment_status,False,43,78.8,0.212,0.5316742081447964,0.5168708360197722
census_acs,vine,household_size,False,43,78.8,0.212,0.5275130434782609,0.5238877488800225
census_acs,vine,age_group,False,43,78.8,0.212,0.47716736339715915,0.5108640269930593
census_acs,vine,household_income,True,44,75.85,0.2415,0.4132290184921764,0.6532370102806335
census_acs,vine,housing_cost,True,44,75.85,0.2415,0.5031953320366769,0.6316656435156764
census_acs,vine,poverty_status,True,44,75.85,0.2415,0.46139435300414827,0.6107080563209384
census_acs,vine,education,True,44,75.85,0.2415,0.474671669793621,0.5382294349561985
census_acs,vine,tenure,True,44,75.85,0.2415,0.4779058222425507,0.5298694081689358
