seed,error_type,corruption_level,method,f1,precision,recall,roc_auc,pr_auc,n_flagged,n_true_errors
48,feature_dropout,0.4,GMM,0.46052009456264775,0.3703422053231939,0.60875,0.48490104166666664,0.4177238496856629,1315,800
48,covariate_shift,0.4,HIF,0.0024630541871921183,0.08333333333333333,0.00125,0.2823041666666667,0.3555890684951155,12,800
48,covariate_shift,0.4,IsolationForest,0.3828464885021753,0.380716934487021,0.385,0.46513125000000005,0.3922520525765768,809,800
48,covariate_shift,0.4,LOF,0.2904761904761905,0.23461538461538461,0.38125,0.19121770833333335,0.2602326330928535,1300,800
48,covariate_shift,0.4,GMM,0.323499491353001,0.2727272727272727,0.3975,0.2619052083333333,0.27802764994620777,1166,800
49,random_injection,0.4,HIF,0.3904382470119522,0.9607843137254902,0.245,0.8816770833333334,0.8493027295849599,204,800
49,random_injection,0.4,IsolationForest,0.42201834862385323,0.41317365269461076,0.43125,0.512559375,0.408821968171294,835,800
49,random_injection,0.4,LOF,0.6182965299684543,0.45161290322580644,0.98,0.8618343749999999,0.8292158868336532,1736,800
49,random_injection,0.4,GMM,0.6518642647674906,0.4902331442974165,0.9725,0.8612197916666667,0.8223745071235509,1587,800
49,semantic_hallucination,0.4,HIF,0.2600216684723727,0.975609756097561,0.15,0.82963125,0.8012607142138777,123,800
49,semantic_hallucination,0.4,IsolationForest,0.4088669950738916,0.4029126213592233,0.415,0.5015385416666667,0.4006809157071608,824,800
49,semantic_hallucination,0.4,LOF,0.5898876404494382,0.43439716312056736,0.91875,0.697246875,0.6287800342116094,1692,800
49,semantic_hallucination,0.4,GMM,0.6306001690617076,0.4763729246487867,0.9325,0.8199364583333333,0.795799681291482,1566,800
49,row_duplication,0.4,HIF,0.007407407407407408,0.3,0.00375,0.5178968749999999,0.4097650982129985,10,800
49,row_duplication,0.4,IsolationForest,0.39849624060150374,0.39949748743718594,0.3975,0.4980734375,0.399290236842075,796,800
49,row_duplication,0.4,LOF,0.5323320817688778,0.3994990607388854,0.7975,0.509825,0.3990153837290471,1597,800
49,row_duplication,0.4,GMM,0.5103638876093965,0.40408460977388766,0.6925,0.5112895833333334,0.4162637922481033,1371,800
49,feature_dropout,0.4,HIF,0.07866507747318235,0.8461538461538461,0.04125,0.6656255208333334,0.5975230748304061,39,800
49,feature_dropout,0.4,IsolationForest,0.14245014245014245,0.16556291390728478,0.125,0.274203125,0.2809826100958763,604,800
49,feature_dropout,0.4,LOF,0.5151128139633887,0.3905745642349903,0.75625,0.4897916666666666,0.3962479960058658,1549,800
