dataset,generator,target,arm,seed,target_is_hub,hubs,retention,f1_full,f1_filtered
online_purchases,ctgan,item_total,B_no_hub,50,False,quantity|item_subtotal|purchase_price|item_tax|list_price,29.066265060240966,0.5498199279711885,0.5997536945812808
online_purchases,ctgan,item_total,C_blind,50,False,quantity|item_subtotal|purchase_price|item_tax|list_price,12.801204819277109,0.5498199279711885,0.6657754010695187
online_purchases,ctgan,item_total,A_published,51,True,quantity|item_total|item_subtotal|purchase_price|item_tax,24.84939759036145,0.472733197073373,0.36330561330561334
online_purchases,ctgan,item_total,B_no_hub,51,False,quantity|item_subtotal|purchase_price|item_tax|list_price,35.69277108433735,0.472733197073373,0.4744948808553049
online_purchases,ctgan,item_total,C_blind,51,False,quantity|item_subtotal|purchase_price|item_tax|list_price,24.397590361445783,0.472733197073373,0.5062282572101897
online_purchases,vine,item_total,A_published,42,True,quantity|item_total|item_subtotal|purchase_price|item_tax,15.66265060240964,0.4797919167667067,0.8249956248906223
online_purchases,vine,item_total,B_no_hub,42,False,quantity|item_subtotal|purchase_price|item_tax|list_price,26.054216867469883,0.4797919167667067,0.5614035087719298
online_purchases,vine,item_total,C_blind,42,False,quantity|item_subtotal|purchase_price|item_tax|list_price,18.67469879518072,0.4797919167667067,0.49498737468436715
online_purchases,vine,item_total,A_published,43,True,quantity|item_subtotal|item_total|purchase_price|item_tax,14.909638554216867,0.5377349010149733,0.8740903024350936
online_purchases,vine,item_total,B_no_hub,43,False,quantity|item_subtotal|purchase_price|item_tax|list_price,27.56024096385542,0.5377349010149733,0.5599559955995599
online_purchases,vine,item_total,C_blind,43,False,quantity|item_subtotal|purchase_price|item_tax|list_price,15.512048192771086,0.5377349010149733,0.5416666666666666
online_purchases,vine,item_total,A_published,44,True,quantity|item_total|item_subtotal|purchase_price|item_tax,12.349397590361445,0.5849896247406186,0.9097744360902256
online_purchases,vine,item_total,B_no_hub,44,False,quantity|item_subtotal|purchase_price|item_tax|list_price,26.20481927710843,0.5849896247406186,0.678234888531372
online_purchases,vine,item_total,C_blind,44,False,quantity|item_subtotal|purchase_price|item_tax|list_price,15.813253012048193,0.5849896247406186,0.7186212440960708
online_purchases,vine,item_total,A_published,45,True,quantity|item_total|item_subtotal|purchase_price|item_tax,13.704819277108435,0.4739347178035522,0.9449656035021888
online_purchases,vine,item_total,B_no_hub,45,False,quantity|item_subtotal|purchase_price|item_tax|list_price,22.590361445783135,0.4739347178035522,0.6471418489767113
online_purchases,vine,item_total,C_blind,45,False,quantity|item_subtotal|purchase_price|item_tax|list_price,18.072289156626507,0.4739347178035522,0.5601023017902813
online_purchases,vine,item_total,A_published,46,True,quantity|item_total|item_subtotal|purchase_price|item_tax,16.114457831325304,0.3946216385240775,0.8935927643079729
online_purchases,vine,item_total,B_no_hub,46,False,quantity|item_subtotal|purchase_price|item_tax|list_price,27.40963855421687,0.3946216385240775,0.44581280788177335
online_purchases,vine,item_total,C_blind,46,False,quantity|item_subtotal|purchase_price|item_tax|list_price,16.265060240963855,0.3946216385240775,0.47393957966240197
online_purchases,vine,item_total,A_published,47,True,quantity|item_total|item_subtotal|purchase_price|item_tax,13.704819277108435,0.41463414634146345,0.8738616009485607
online_purchases,vine,item_total,B_no_hub,47,False,quantity|item_subtotal|purchase_price|item_tax|list_price,27.10843373493976,0.41463414634146345,0.6491228070175439
online_purchases,vine,item_total,C_blind,47,False,quantity|item_subtotal|purchase_price|item_tax|list_price,15.963855421686745,0.41463414634146345,0.6682027649769585
online_purchases,vine,item_total,A_published,48,True,quantity|item_total|item_subtotal|purchase_price|item_tax,10.542168674698797,0.33418437586042904,0.7592151438305285
online_purchases,vine,item_total,B_no_hub,48,False,quantity|item_subtotal|purchase_price|item_tax|list_price,21.837349397590362,0.33418437586042904,0.5104166666666666
online_purchases,vine,item_total,C_blind,48,False,quantity|item_subtotal|purchase_price|item_tax|list_price,16.265060240963855,0.33418437586042904,0.5195676108497648
online_purchases,vine,item_total,A_published,49,True,quantity|item_subtotal|item_total|purchase_price|item_tax,13.253012048192772,0.3594234811330197,0.6052518664721531
online_purchases,vine,item_total,B_no_hub,49,False,quantity|item_subtotal|purchase_price|item_tax|list_price,24.69879518072289,0.3594234811330197,0.4666666666666667
online_purchases,vine,item_total,C_blind,49,False,quantity|item_subtotal|purchase_price|item_tax|list_price,14.307228915662652,0.3594234811330197,0.2126181699641415
online_purchases,vine,item_total,A_published,50,True,quantity|item_total|item_subtotal|purchase_price|item_tax,15.210843373493976,0.45211038961038963,0.7599530120789602
online_purchases,vine,item_total,B_no_hub,50,False,quantity|item_subtotal|purchase_price|item_tax|list_price,27.710843373493976,0.45211038961038963,0.4983323685878883
online_purchases,vine,item_total,C_blind,50,False,quantity|item_subtotal|purchase_price|item_tax|list_price,15.210843373493976,0.45211038961038963,0.5045838759927475
online_purchases,vine,item_total,A_published,51,True,quantity|item_total|item_subtotal|purchase_price|item_tax,13.102409638554215,0.4666666666666667,0.9045969219954307
online_purchases,vine,item_total,B_no_hub,51,False,quantity|item_subtotal|purchase_price|item_tax|list_price,23.49397590361446,0.4666666666666667,0.5174503422735944
online_purchases,vine,item_total,C_blind,51,False,quantity|item_subtotal|purchase_price|item_tax|list_price,12.951807228915662,0.4666666666666667,0.5349317899958661
