dataset,generator,attribute,seed,violation_rate,retention,max_flag_gap,max_share_shift_pp,tvd
credit,ctgan,age_quartile,46,0.7755,0.2245,0.029834193734819325,1.980734966592429,0.020204899777282834
credit,ctgan,sex,47,0.8055,0.1945,0.024628346320844208,3.0825192802056645,0.03082519280205659
credit,ctgan,marriage,47,0.8055,0.1945,0.2586206896551724,2.219408740359896,0.028194087403599008
credit,ctgan,age_quartile,47,0.8055,0.1945,0.08931506849315063,6.433161953727506,0.08854755784061696
credit,ctgan,sex,48,0.7975,0.2025,0.004137203614067109,0.5055555555555591,0.005055555555555591
credit,ctgan,marriage,48,0.7975,0.2025,0.1496598639455783,2.0271604938271572,0.022549382716049365
credit,ctgan,age_quartile,48,0.7975,0.2025,0.18967045958327178,11.781481481481482,0.11793827160493829
credit,ctgan,sex,49,0.819,0.181,0.027141373180253003,3.7135359116022117,0.03713535911602209
credit,ctgan,marriage,49,0.819,0.181,0.14572192513368987,1.9013812154696164,0.021875690607734845
credit,ctgan,age_quartile,49,0.819,0.181,0.06793801599941418,4.5204419889502745,0.05339779005524861
credit,ctgan,sex,50,0.853,0.147,0.008138224486378576,1.347278911564631,0.013472789115646283
credit,ctgan,marriage,50,0.853,0.147,0.0593507751937985,2.1414965986394585,0.021414965986394585
credit,ctgan,age_quartile,50,0.853,0.147,0.1395252673273073,13.032653061224488,0.16274489795918362
credit,ctgan,sex,51,0.8205,0.1795,0.0040196444075193405,0.5538997214484698,0.00553899721448467
credit,ctgan,marriage,51,0.8205,0.1795,0.1029411764705882,7.152924791086352,0.07460167130919218
credit,ctgan,age_quartile,51,0.8205,0.1795,0.1883486023020906,14.165041782729803,0.17931197771587742
credit,tvae,sex,42,0.4515,0.5485,0.0,0.0,0.0
credit,tvae,marriage,42,0.4515,0.5485,0.3094351565699817,10.605925250683681,0.1060592525068368
credit,tvae,age_quartile,42,0.4515,0.5485,0.8271378755849459,26.83742023701003,0.2683742023701003
credit,tvae,sex,43,0.3495,0.6505,0.10527921190279832,1.074442736356651,0.010744427363566504
credit,tvae,marriage,43,0.3495,0.6505,0.2206969593510439,8.272751729438898,0.08272751729438896
credit,tvae,age_quartile,43,0.3495,0.6505,0.8947707328760969,17.378401229823215,0.17378401229823215
credit,tvae,sex,44,0.235,0.765,0.23570712136409228,0.09215686274509803,0.000921568627450972
credit,tvae,marriage,44,0.235,0.765,0.34461462450592883,8.75294117647059,0.08752941176470587
credit,tvae,age_quartile,44,0.235,0.765,0.7794670099160946,15.96764705882353,0.18273529411764708
credit,tvae,sex,45,0.2265,0.7735,0.0,0.0,0.0
credit,tvae,marriage,45,0.2265,0.7735,0.25412805161431423,4.807110536522307,0.048071105365223035
credit,tvae,age_quartile,45,0.2265,0.7735,0.770893683840052,12.804395604395602,0.14691952165481575
credit,tvae,sex,46,0.525,0.475,0.0,0.0,0.0
credit,tvae,marriage,46,0.525,0.475,0.294949237590723,4.386842105263158,0.04386842105263157
credit,tvae,age_quartile,46,0.525,0.475,0.9233162201298387,36.871052631578955,0.36871052631578954
credit,tvae,sex,47,0.4425,0.5575,0.05778894472361806,0.051569506726457416,0.0005156950672645698
credit,tvae,marriage,47,0.4425,0.5575,0.13807874356979982,6.058071748878923,0.06058071748878924
credit,tvae,age_quartile,47,0.4425,0.5575,0.9007015306122449,20.82286995515695,0.223304932735426
credit,tvae,sex,48,0.2265,0.7735,0.150410429744085,0.3624434389140285,0.0036244343891402783
credit,tvae,marriage,48,0.2265,0.7735,0.12713711049988696,1.6538138332256036,0.01653813833225601
credit,tvae,age_quartile,48,0.2265,0.7735,0.5755603543452957,9.845539754363285,0.10527020038784746
credit,tvae,sex,49,0.2885,0.7115,0.5669441553936871,2.9864371047083624,0.029864371047083622
credit,tvae,marriage,49,0.2885,0.7115,0.5351141520136132,16.9720309205903,0.16972030920590297
credit,tvae,age_quartile,49,0.2885,0.7115,0.89315580092555,24.736296556570622,0.24736296556570622
credit,tvae,sex,50,0.3915,0.6085,0.0,0.0,0.0
credit,tvae,marriage,50,0.3915,0.6085,0.265686125683981,7.837838948233367,0.07837838948233362
credit,tvae,age_quartile,50,0.3915,0.6085,0.8547122032113125,23.095891536565322,0.23095891536565322
credit,tvae,sex,51,0.27,0.73,0.2153846153846154,0.7191780821917806,0.007191780821917772
credit,tvae,marriage,51,0.27,0.73,0.41116923704055985,5.181506849315076,0.05181506849315072
credit,tvae,age_quartile,51,0.27,0.73,0.5019981771015916,13.940410958904115,0.13940410958904112
